"Story","Title","Result","Date","Stability","Duration (s)"
"Product","Send GET Request to Products","SUCCESS","2023-10-27T11:10:13.4541929+07:00[Asia/Jakarta]","0.0","5.36"
"Product","Send GET request to the product endpoint with a valid product ID","SUCCESS","2023-10-27T11:10:18.8244692+07:00[Asia/Jakarta]","0.0","0.27"
"Product","Add a new product","SUCCESS","2023-10-27T11:10:19.1083153+07:00[Asia/Jakarta]","0.0","0.33"
"Product","Delete Product","SUCCESS","2023-10-27T11:10:19.4438876+07:00[Asia/Jakarta]","0.0","0.24"
"Product","Get Product Comment","SUCCESS","2023-10-27T11:10:19.6938095+07:00[Asia/Jakarta]","0.0","0.25"
"Product","Get Product Rating","SUCCESS","2023-10-27T11:10:19.9540038+07:00[Asia/Jakarta]","0.0","0.21"
"Product","Create Comment for product","SUCCESS","2023-10-27T11:10:20.1762294+07:00[Asia/Jakarta]","0.0","0.23"
"Product","Create Comment for product with invalid ID","SUCCESS","2023-10-27T11:10:20.4094128+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Create Rating for product","SUCCESS","2023-10-27T11:10:20.6158949+07:00[Asia/Jakarta]","0.0","0.22"
"Product","Create rating for product with invalid ID","SUCCESS","2023-10-27T11:10:20.8407119+07:00[Asia/Jakarta]","0.0","0.17"
