"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Send request to login with empty credentials","SUCCESS","2023-10-27T11:10:13.3458978+07:00[Asia/Jakarta]","0.0","3.71"
"Authentication","Send request to login with wrong password","SUCCESS","2023-10-27T11:10:17.0788585+07:00[Asia/Jakarta]","0.0","0.17"
"Authentication","Send request to register with valid credentials","SUCCESS","2023-10-27T11:10:17.2738277+07:00[Asia/Jakarta]","0.0","0.34"
"Authentication","Send request to register with empty credentials","SUCCESS","2023-10-27T11:10:17.639011+07:00[Asia/Jakarta]","0.0","0.23"
"Authentication","Send request to register with used email","SUCCESS","2023-10-27T11:10:17.8912961+07:00[Asia/Jakarta]","0.0","0.22"
"Authentication","Get user information","SUCCESS","2023-10-27T11:10:18.1234859+07:00[Asia/Jakarta]","0.0","0.33"
"Categories","Send GET request to get all category","SUCCESS","2023-10-27T11:10:13.4461915+07:00[Asia/Jakarta]","0.0","3.61"
"Categories","Send GET request to get category by ID","SUCCESS","2023-10-27T11:10:17.0698427+07:00[Asia/Jakarta]","0.0","0.17"
"Categories","Send GET request to get category by invalid ID","SUCCESS","2023-10-27T11:10:17.2613604+07:00[Asia/Jakarta]","0.0","0.35"
"Categories","Delete Category","SUCCESS","2023-10-27T11:10:17.6300246+07:00[Asia/Jakarta]","0.0","0.24"
"Categories","Add a new category","SUCCESS","2023-10-27T11:10:17.8833086+07:00[Asia/Jakarta]","0.0","0.23"
"Categories","Add a new category with empty fields","SUCCESS","2023-10-27T11:10:18.1304875+07:00[Asia/Jakarta]","0.0","0.32"
"Orders","Send GET request to get all orders","SUCCESS","2023-10-27T11:10:13.4381893+07:00[Asia/Jakarta]","0.0","3.17"
"Orders","Send GET request to get orders by invalid ID","SUCCESS","2023-10-27T11:10:16.6481298+07:00[Asia/Jakarta]","0.0","0.16"
"Orders","Add a new orders","SUCCESS","2023-10-27T11:10:16.8214342+07:00[Asia/Jakarta]","0.0","0.17"
"Orders","Add a new orders with empty fields","SUCCESS","2023-10-27T11:10:17.0092262+07:00[Asia/Jakarta]","0.0","0.15"
"Product","Send GET Request to Products","SUCCESS","2023-10-27T11:10:13.4541929+07:00[Asia/Jakarta]","0.0","5.36"
"Product","Send GET request to the product endpoint with a valid product ID","SUCCESS","2023-10-27T11:10:18.8244692+07:00[Asia/Jakarta]","0.0","0.27"
"Product","Add a new product","SUCCESS","2023-10-27T11:10:19.1083153+07:00[Asia/Jakarta]","0.0","0.33"
"Product","Delete Product","SUCCESS","2023-10-27T11:10:19.4438876+07:00[Asia/Jakarta]","0.0","0.24"
"Product","Get Product Comment","SUCCESS","2023-10-27T11:10:19.6938095+07:00[Asia/Jakarta]","0.0","0.25"
"Product","Get Product Rating","SUCCESS","2023-10-27T11:10:19.9540038+07:00[Asia/Jakarta]","0.0","0.21"
"Product","Create Comment for product","SUCCESS","2023-10-27T11:10:20.1762294+07:00[Asia/Jakarta]","0.0","0.23"
"Product","Create Comment for product with invalid ID","SUCCESS","2023-10-27T11:10:20.4094128+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Create Rating for product","SUCCESS","2023-10-27T11:10:20.6158949+07:00[Asia/Jakarta]","0.0","0.22"
"Product","Create rating for product with invalid ID","SUCCESS","2023-10-27T11:10:20.8407119+07:00[Asia/Jakarta]","0.0","0.17"
